epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.8779,2.07543,3.11338,1.10422,0.3174,0.27209,0.19444,0.06478,2.67738,13.4811,1.30957,0.000665076,0.000665076,0.000665076
2,161.593,1.89658,1.88834,1.05948,0.30922,0.27209,0.21034,0.06511,2.67078,5.51252,1.29456,0.00124385,0.00124385,0.00124385
3,240.685,1.78832,1.42835,1.01794,0.36219,0.27811,0.21375,0.08328,2.65903,7.38012,1.28847,0.00173462,0.00173462,0.00173462
4,319.881,1.67747,1.29286,1.01632,0.53674,0.26707,0.28104,0.10589,2.42038,3.97154,1.23608,0.001604,0.001604,0.001604
5,398.962,1.61698,1.22154,0.98692,0.31051,0.23193,0.15445,0.05658,2.60253,6.79494,1.28261,0.001472,0.001472,0.001472
6,484.362,1.57626,1.23001,0.99228,0.30185,0.26707,0.1745,0.05447,2.76383,5.71187,1.28021,0.00134,0.00134,0.00134
7,563.517,1.53602,1.12977,0.9821,0.44693,0.23293,0.21241,0.08866,2.49653,3.50956,1.21734,0.001208,0.001208,0.001208
8,642.747,1.47441,1.11708,0.9627,0.34621,0.2259,0.15684,0.06562,2.48162,4.24806,1.2502,0.001076,0.001076,0.001076
9,721.598,1.40906,1.07089,0.95372,0.35601,0.2239,0.14003,0.06036,2.3625,4.91678,1.1968,0.000944,0.000944,0.000944
10,800.742,1.36733,1.02908,0.93919,0.43065,0.23896,0.18004,0.07969,2.52842,5.2228,1.20874,0.000812,0.000812,0.000812
11,880.369,1.30728,1.0046,0.92283,0.28394,0.18273,0.10095,0.04048,2.60388,7.06753,1.2524,0.00068,0.00068,0.00068
12,959.603,1.28765,0.94055,0.92246,0.2761,0.23996,0.10948,0.04607,2.53342,6.36268,1.24572,0.000548,0.000548,0.000548
13,1038.89,1.22586,0.92242,0.91722,0.26599,0.24632,0.10717,0.04541,2.43926,6.65868,1.21239,0.000416,0.000416,0.000416
14,1118.48,1.1953,0.88601,0.90631,0.29958,0.28614,0.13978,0.06043,2.42564,6.77695,1.20236,0.000284,0.000284,0.000284
15,1198.47,1.13824,0.85547,0.89037,0.40145,0.22992,0.15494,0.07109,2.4449,5.96486,1.20589,0.000152,0.000152,0.000152
