epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.8219,2.08417,1.97237,1.26118,0.84792,0.43072,0.49696,0.25334,2.2844,2.06977,1.15113,0.000664634,0.000664634,0.000664634
2,96.1132,1.9363,1.69483,1.17301,0.89545,0.46285,0.53499,0.28786,2.16958,2.16906,1.10066,0.00130494,0.00130494,0.00130494
3,142.777,1.93303,1.6879,1.18093,0.8475,0.48695,0.54685,0.29652,2.17007,1.96575,1.06909,0.00191885,0.00191885,0.00191885
4,189.274,1.88576,1.53099,1.18124,0.84765,0.4916,0.56122,0.32093,2.09879,1.79584,1.05532,0.0018812,0.0018812,0.0018812
5,236.151,1.82369,1.45008,1.14084,0.797,0.53414,0.59767,0.32016,2.10013,1.74247,1.06447,0.0018416,0.0018416,0.0018416
6,283.554,1.79257,1.35948,1.1255,0.78344,0.53393,0.56844,0.30216,2.27567,2.02721,1.06076,0.001802,0.001802,0.001802
7,330.597,1.87521,1.41909,1.13149,0.86812,0.57028,0.63289,0.35142,2.01014,2.05494,1.02975,0.0017624,0.0017624,0.0017624
8,377.328,1.76252,1.36542,1.09638,0.85176,0.5753,0.64236,0.34335,1.98462,1.52388,1.02039,0.0017228,0.0017228,0.0017228
9,423.642,1.73829,1.24932,1.10101,0.84267,0.56928,0.63181,0.34239,2.04857,1.58072,1.04723,0.0016832,0.0016832,0.0016832
10,470.207,1.72889,1.2525,1.09274,0.82321,0.57731,0.64237,0.34962,2.01706,1.61787,1.02672,0.0016436,0.0016436,0.0016436
11,516.755,1.77749,1.2897,1.11747,0.81405,0.5994,0.65422,0.36737,1.94573,1.81987,1.00841,0.001604,0.001604,0.001604
12,564.473,1.64929,1.1757,1.0804,0.8381,0.57932,0.64172,0.3414,2.05564,1.68474,1.01972,0.0015644,0.0015644,0.0015644
13,610.896,1.71185,1.20987,1.10354,0.84312,0.59897,0.66959,0.37171,1.99314,1.58138,1.01138,0.0015248,0.0015248,0.0015248
14,657.502,1.68398,1.18443,1.08346,0.82139,0.57229,0.64593,0.36699,1.99847,1.68064,1.00574,0.0014852,0.0014852,0.0014852
15,704.288,1.72074,1.25429,1.09042,0.83614,0.57731,0.63742,0.35078,2.10482,1.60935,1.02908,0.0014456,0.0014456,0.0014456
16,751.971,1.68925,1.20891,1.07154,0.84199,0.63253,0.68019,0.3772,1.976,1.60968,1.02261,0.001406,0.001406,0.001406
17,798.976,1.65652,1.16548,1.09546,0.85695,0.61345,0.67844,0.38348,1.96376,1.56355,1.00631,0.0013664,0.0013664,0.0013664
18,846.571,1.62758,1.10342,1.07697,0.81504,0.62383,0.68334,0.39621,1.85615,1.42754,0.98197,0.0013268,0.0013268,0.0013268
19,893.982,1.63012,1.06469,1.0638,0.85124,0.61948,0.68143,0.37151,1.9816,1.36715,0.99843,0.0012872,0.0012872,0.0012872
20,942.675,1.60137,1.10162,1.04976,0.86674,0.62035,0.68138,0.39489,1.89698,1.36596,0.9863,0.0012476,0.0012476,0.0012476
21,991.077,1.65565,1.07457,1.0709,0.83784,0.59237,0.66952,0.38145,1.9298,1.53058,0.99082,0.001208,0.001208,0.001208
22,1038.22,1.57969,1.04289,1.04458,0.84338,0.6245,0.68982,0.39561,1.89212,1.29783,0.99106,0.0011684,0.0011684,0.0011684
23,1085.01,1.56207,1.03455,1.04807,0.83184,0.62149,0.68718,0.39489,1.8671,1.41835,0.99031,0.0011288,0.0011288,0.0011288
24,1132.35,1.55547,1.01678,1.04492,0.87532,0.62736,0.70009,0.38022,1.91731,1.32279,0.98872,0.0010892,0.0010892,0.0010892
25,1180.2,1.5605,1.00389,1.04045,0.85695,0.62851,0.69691,0.40225,1.89159,1.25198,0.98348,0.0010496,0.0010496,0.0010496
26,1227.38,1.54708,0.98817,1.03288,0.86675,0.62042,0.69292,0.39626,1.8911,1.28887,0.98096,0.00101,0.00101,0.00101
27,1274.74,1.6099,1.04389,1.02716,0.79591,0.64215,0.68467,0.40611,1.84044,1.33237,0.97532,0.0009704,0.0009704,0.0009704
28,1321.74,1.54378,1.01303,1.04828,0.86373,0.64272,0.70065,0.41505,1.81666,1.24507,0.97,0.0009308,0.0009308,0.0009308
29,1368.77,1.52597,0.99494,1.02426,0.8295,0.66265,0.71945,0.41541,1.81029,1.21534,0.96773,0.0008912,0.0008912,0.0008912
30,1415.7,1.50424,0.99064,1.0409,0.87056,0.65498,0.71259,0.41201,1.79468,1.17349,0.96677,0.0008516,0.0008516,0.0008516
31,1463.8,1.532,0.97109,1.04232,0.87386,0.65763,0.70917,0.40963,1.78248,1.22851,0.96504,0.000812,0.000812,0.000812
32,1511.51,1.48484,0.96548,1.0232,0.85606,0.65684,0.72065,0.41801,1.79183,1.22819,0.96614,0.0007724,0.0007724,0.0007724
33,1559.5,1.5308,0.98377,1.04165,0.87928,0.65763,0.71642,0.4216,1.80011,1.14796,0.96139,0.0007328,0.0007328,0.0007328
34,1606.96,1.46113,0.94405,1.01131,0.86557,0.65261,0.72114,0.41733,1.79337,1.27818,0.96792,0.0006932,0.0006932,0.0006932
35,1654.28,1.45649,0.94057,1.02506,0.88936,0.61747,0.69743,0.40893,1.823,1.24463,0.96324,0.0006536,0.0006536,0.0006536
36,1701.67,1.46394,0.93297,1.00139,0.88735,0.65863,0.73131,0.42504,1.76738,1.14698,0.95491,0.000614,0.000614,0.000614
37,1749.68,1.46988,0.92732,0.99915,0.85082,0.66995,0.71948,0.41863,1.79543,1.14269,0.95918,0.0005744,0.0005744,0.0005744
38,1797.09,1.51286,0.94229,1.02969,0.89089,0.65361,0.7328,0.42751,1.75352,1.11895,0.95413,0.0005348,0.0005348,0.0005348
39,1844.02,1.45231,0.90432,1.00907,0.87844,0.66466,0.73578,0.42807,1.75609,1.15702,0.9548,0.0004952,0.0004952,0.0004952
40,1891.27,1.40479,0.86881,0.98394,0.89367,0.66767,0.73861,0.42788,1.78402,1.14889,0.95354,0.0004556,0.0004556,0.0004556
41,1943.6,1.42313,0.88237,1.00602,0.86866,0.67068,0.73701,0.42801,1.78711,1.15254,0.95348,0.000416,0.000416,0.000416
42,1989.6,1.42454,0.86401,0.99971,0.87869,0.67972,0.74918,0.43363,1.75363,1.10675,0.94413,0.0003764,0.0003764,0.0003764
43,2036.59,1.46724,0.86139,0.98924,0.87513,0.68173,0.74577,0.43376,1.75831,1.10709,0.95015,0.0003368,0.0003368,0.0003368
44,2083.74,1.4246,0.88244,0.99752,0.87311,0.67972,0.74874,0.4351,1.74715,1.05205,0.94654,0.0002972,0.0002972,0.0002972
45,2130.7,1.45218,0.86387,0.99402,0.8678,0.68072,0.74318,0.44065,1.73586,1.06149,0.94397,0.0002576,0.0002576,0.0002576
46,2177.27,1.43911,0.83637,0.99221,0.86787,0.67068,0.73275,0.43159,1.74695,1.0829,0.94168,0.000218,0.000218,0.000218
47,2223.43,1.36789,0.77871,0.9848,0.86316,0.68574,0.74551,0.4436,1.71818,1.03601,0.94359,0.0001784,0.0001784,0.0001784
48,2269.96,1.35974,0.79437,0.99741,0.88704,0.67806,0.75857,0.44472,1.71209,1.0449,0.94302,0.0001388,0.0001388,0.0001388
49,2317.2,1.3997,0.83559,0.99382,0.87843,0.68918,0.75644,0.44425,1.72764,1.03678,0.94184,9.92e-05,9.92e-05,9.92e-05
50,2364.51,1.4134,0.82841,0.97842,0.89006,0.67871,0.75653,0.44673,1.70923,1.02169,0.93933,5.96e-05,5.96e-05,5.96e-05
