epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.1606,2.07947,3.72826,1.14263,0.68759,0.18783,0.2626,0.12894,2.08091,5.89455,1.11275,0.000659574,0.000659574,0.000659574
2,114.24,1.96144,2.38529,1.1317,0.76642,0.42827,0.46676,0.24006,2.17462,3.89993,1.16552,0.00129998,0.00129998,0.00129998
3,168.787,1.8871,1.85255,1.12651,0.50459,0.43359,0.29338,0.15435,1.99167,3.48747,1.33309,0.00191399,0.00191399,0.00191399
4,223.07,1.84203,1.52714,1.10408,0.74857,0.45984,0.49919,0.21989,2.24069,2.25969,1.13918,0.0018812,0.0018812,0.0018812
5,277.588,1.81194,1.40993,1.08997,0.83924,0.51908,0.58924,0.31052,1.98616,1.78515,1.11837,0.0018416,0.0018416,0.0018416
6,331.906,1.75806,1.26122,1.06288,0.78226,0.48335,0.56865,0.30487,1.95661,1.68299,1.1025,0.001802,0.001802,0.001802
7,386.416,1.77155,1.25939,1.0738,0.7909,0.51004,0.57919,0.26425,2.22567,1.69924,1.16774,0.0017624,0.0017624,0.0017624
8,440.84,1.70047,1.13331,1.05138,0.85834,0.57731,0.63549,0.33634,1.93399,1.42439,1.08314,0.0017228,0.0017228,0.0017228
9,495.236,1.71471,1.18327,1.05495,0.85527,0.56365,0.64097,0.35134,1.91153,1.24339,1.08408,0.0016832,0.0016832,0.0016832
10,549.715,1.6248,1.12066,1.03749,0.84219,0.56225,0.63262,0.33679,1.90769,1.3409,1.08898,0.0016436,0.0016436,0.0016436
11,604.421,1.64619,1.09943,1.02399,0.83565,0.60944,0.65885,0.35289,1.86918,1.25337,1.05142,0.001604,0.001604,0.001604
12,659.126,1.59686,1.05713,1.02367,0.78332,0.59137,0.66455,0.35641,1.8165,1.64665,1.04655,0.0015644,0.0015644,0.0015644
13,713.905,1.62751,1.07905,1.0163,0.81401,0.59438,0.65069,0.33748,1.97,1.63529,1.08637,0.0015248,0.0015248,0.0015248
14,768.422,1.58568,1.04579,1.00642,0.8829,0.60562,0.69014,0.3745,1.79988,1.17908,1.03139,0.0014852,0.0014852,0.0014852
15,823.023,1.59719,1.07232,1.02953,0.8672,0.56827,0.65198,0.35279,1.90863,1.32905,1.06247,0.0014456,0.0014456,0.0014456
16,877.467,1.55337,1.01765,1.013,0.892,0.58635,0.69465,0.39856,1.74451,1.22515,1.03087,0.001406,0.001406,0.001406
17,932.211,1.55836,1.00613,1.00814,0.83349,0.62048,0.67734,0.36438,1.73507,1.348,1.02335,0.0013664,0.0013664,0.0013664
