epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.33,1.97728,3.59108,1.29836,0.91528,0.28202,0.44067,0.20863,1.9982,4.85434,1.04607,0.000659574,0.000659574,0.000659574
2,111.984,1.88806,2.37925,1.21185,0.75011,0.4159,0.45953,0.23219,2.08066,4.05956,1.07477,0.00129998,0.00129998,0.00129998
3,166.836,1.80925,1.90395,1.22458,0.78281,0.41615,0.44988,0.24065,2.10742,3.4119,1.14825,0.00191399,0.00191399,0.00191399
4,222.073,1.76438,1.63464,1.22744,0.52182,0.43058,0.29772,0.1618,2.02687,3.47622,1.10013,0.0018812,0.0018812,0.0018812
5,277.273,1.74953,1.4174,1.18073,0.86888,0.48193,0.54599,0.30324,1.96476,1.9357,1.1029,0.0018416,0.0018416,0.0018416
6,333.489,1.69104,1.33884,1.17361,0.74575,0.49498,0.56811,0.30872,1.90257,1.8566,1.05585,0.001802,0.001802,0.001802
7,391.29,1.65325,1.27554,1.15494,0.8724,0.56288,0.62916,0.33727,1.85494,2.06138,1.0613,0.0017624,0.0017624,0.0017624
8,448.523,1.61167,1.22167,1.10951,0.8662,0.53916,0.60315,0.32325,1.87577,1.41714,1.05266,0.0017228,0.0017228,0.0017228
9,505.118,1.60624,1.17128,1.11737,0.81461,0.57129,0.6053,0.29729,2.0394,1.64701,1.07204,0.0016832,0.0016832,0.0016832
10,560.602,1.56229,1.12238,1.1072,0.89012,0.57229,0.64031,0.33737,1.91491,1.30136,1.09148,0.0016436,0.0016436,0.0016436
11,616.935,1.54476,1.10069,1.09596,0.82625,0.56124,0.62035,0.3269,1.90428,1.32253,1.03893,0.001604,0.001604,0.001604
12,672.443,1.48911,1.03547,1.07584,0.86858,0.57028,0.63743,0.34393,1.8796,1.31458,1.04917,0.0015644,0.0015644,0.0015644
13,728.408,1.46419,1.02533,1.06964,0.85647,0.60509,0.6644,0.36188,1.81753,1.44342,1.01039,0.0015248,0.0015248,0.0015248
14,786.257,1.44779,1.02085,1.06025,0.82867,0.59639,0.6447,0.36054,1.87506,1.24096,1.01873,0.0014852,0.0014852,0.0014852
15,842.473,1.42103,1.01728,1.05149,0.86945,0.5994,0.67047,0.36354,1.79037,1.13467,1.00735,0.0014456,0.0014456,0.0014456
16,898.898,1.41606,0.97314,1.04088,0.85651,0.6245,0.6898,0.37742,1.72618,1.24869,0.99088,0.001406,0.001406,0.001406
17,954.888,1.38262,0.95455,1.02761,0.84446,0.62687,0.69842,0.3796,1.75549,1.12618,0.99543,0.0013664,0.0013664,0.0013664
18,1011.46,1.38014,0.96029,1.04137,0.86716,0.61609,0.68262,0.37626,1.78358,1.30898,1.00202,0.0013268,0.0013268,0.0013268
19,1067.08,1.36945,0.97313,1.01841,0.86634,0.60643,0.68387,0.39691,1.73307,1.10057,1.00063,0.0012872,0.0012872,0.0012872
20,1122.95,1.33435,0.91477,1.01427,0.86779,0.65361,0.70703,0.38549,1.74118,1.11003,1.00873,0.0012476,0.0012476,0.0012476
21,1178.52,1.34342,0.91123,1.01733,0.84094,0.60241,0.68939,0.39939,1.68682,1.11019,0.98861,0.001208,0.001208,0.001208
22,1233.65,1.33071,0.88319,1.01046,0.8523,0.65469,0.72098,0.40428,1.69547,1.13051,0.98779,0.0011684,0.0011684,0.0011684
23,1289.06,1.27424,0.88005,1.0031,0.87865,0.65425,0.71953,0.40783,1.69324,1.0138,0.98742,0.0011288,0.0011288,0.0011288
24,1344.25,1.28369,0.8681,0.98426,0.86754,0.68173,0.74291,0.41926,1.62763,1.05344,0.9906,0.0010892,0.0010892,0.0010892
25,1401.39,1.29085,0.85146,0.98094,0.87551,0.65665,0.7211,0.42339,1.6192,0.98617,0.97333,0.0010496,0.0010496,0.0010496
26,1457.18,1.266,0.85386,0.98693,0.86096,0.67764,0.73568,0.42119,1.6129,0.95854,0.97009,0.00101,0.00101,0.00101
27,1512.97,1.26147,0.82109,0.98461,0.90267,0.68373,0.75506,0.4361,1.59485,0.93483,0.96986,0.0009704,0.0009704,0.0009704
28,1568.42,1.2319,0.82805,0.97662,0.8875,0.68907,0.7514,0.42753,1.58511,0.94753,0.964,0.0009308,0.0009308,0.0009308
29,1624.46,1.22132,0.83349,0.97961,0.872,0.68574,0.76765,0.44149,1.55763,0.93265,0.96822,0.0008912,0.0008912,0.0008912
30,1680.35,1.18707,0.81655,0.96315,0.88048,0.69378,0.7601,0.43029,1.60365,0.89346,0.97578,0.0008516,0.0008516,0.0008516
31,1736.99,1.19255,0.78394,0.97014,0.87307,0.68369,0.74531,0.43929,1.57339,0.93607,0.97172,0.000812,0.000812,0.000812
32,1794.16,1.1922,0.79187,0.95575,0.86251,0.68655,0.73777,0.43252,1.59212,0.9512,0.95896,0.0007724,0.0007724,0.0007724
33,1850.4,1.17661,0.77297,0.95269,0.85311,0.68775,0.75634,0.43325,1.54857,0.91804,0.96113,0.0007328,0.0007328,0.0007328
34,1909.42,1.16142,0.77512,0.94347,0.87015,0.70281,0.77258,0.43959,1.53546,0.84722,0.95607,0.0006932,0.0006932,0.0006932
35,1967.16,1.15676,0.75243,0.95569,0.87518,0.67579,0.74752,0.43394,1.57537,0.94173,0.96134,0.0006536,0.0006536,0.0006536
36,2023.51,1.12935,0.73505,0.94481,0.8685,0.72289,0.77316,0.45683,1.50322,0.86783,0.95414,0.000614,0.000614,0.000614
37,2082.85,1.11106,0.71158,0.9424,0.86592,0.68976,0.75939,0.44752,1.53076,0.85853,0.95063,0.0005744,0.0005744,0.0005744
38,2139.2,1.13186,0.73142,0.93863,0.86268,0.71907,0.77473,0.45301,1.49349,0.83969,0.94671,0.0005348,0.0005348,0.0005348
39,2195.12,1.12273,0.72767,0.92822,0.89179,0.71185,0.78559,0.45828,1.48143,0.79269,0.94717,0.0004952,0.0004952,0.0004952
40,2251.36,1.08946,0.71075,0.93279,0.88608,0.71848,0.78671,0.45366,1.4673,0.80054,0.94856,0.0004556,0.0004556,0.0004556
41,2340.79,1.08388,0.70192,0.92358,0.86747,0.70783,0.77503,0.42225,1.59988,0.8454,0.97453,0.000416,0.000416,0.000416
42,2397.6,1.05237,0.68895,0.92058,0.89968,0.70229,0.78887,0.4615,1.47421,0.82768,0.95904,0.0003764,0.0003764,0.0003764
43,2453.39,1.0471,0.68076,0.91893,0.88916,0.70582,0.77596,0.45565,1.4733,0.80927,0.94915,0.0003368,0.0003368,0.0003368
44,2509.16,1.04754,0.66846,0.91483,0.8934,0.72189,0.79633,0.46696,1.46669,0.78211,0.94454,0.0002972,0.0002972,0.0002972
45,2565.46,1.02612,0.64976,0.91229,0.89347,0.71988,0.78388,0.45826,1.49046,0.79373,0.95464,0.0002576,0.0002576,0.0002576
46,2621.32,1.02516,0.64807,0.91244,0.88876,0.72995,0.79389,0.46749,1.46157,0.76041,0.94943,0.000218,0.000218,0.000218
47,2677.11,1.00256,0.6426,0.90818,0.89782,0.73896,0.81408,0.47651,1.42517,0.76883,0.93791,0.0001784,0.0001784,0.0001784
48,2733.36,0.98407,0.62923,0.90021,0.90191,0.72931,0.80004,0.47382,1.43105,0.78234,0.93706,0.0001388,0.0001388,0.0001388
49,2789.92,0.96943,0.63708,0.89249,0.90267,0.73558,0.81144,0.47936,1.41936,0.75624,0.946,9.92e-05,9.92e-05,9.92e-05
50,2845.78,0.97275,0.62214,0.89486,0.90384,0.72992,0.80924,0.47812,1.42277,0.75608,0.9436,5.96e-05,5.96e-05,5.96e-05
