epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.8246,2.28411,4.52391,1.22575,0.76338,0.43474,0.46546,0.20034,2.3393,6.43551,1.15246,0.000664889,0.000664889,0.000664889
2,147.704,2.09041,2.51399,1.22344,0.78513,0.40863,0.44936,0.22034,2.26643,4.45778,1.11468,0.00130519,0.00130519,0.00130519
3,220.17,2.09103,2.00589,1.20188,0.81979,0.39759,0.43911,0.21127,2.53537,3.21886,1.15538,0.00191909,0.00191909,0.00191909
4,292.773,2.08538,1.76042,1.19241,0.83847,0.42972,0.46281,0.2234,2.44965,2.39712,1.17799,0.0018812,0.0018812,0.0018812
5,365.334,2.02538,1.65034,1.17899,0.86115,0.48695,0.55501,0.24081,2.40295,2.0328,1.16351,0.0018416,0.0018416,0.0018416
6,438.352,2.00743,1.55921,1.16585,0.82911,0.45683,0.50994,0.25017,2.32957,2.33674,1.14239,0.001802,0.001802,0.001802
7,511.003,1.96858,1.5214,1.17176,0.79923,0.46988,0.52946,0.2805,2.26321,2.02965,1.13145,0.0017624,0.0017624,0.0017624
8,584.145,1.94692,1.46337,1.1518,0.83472,0.51606,0.58984,0.28962,2.14002,1.86214,1.09093,0.0017228,0.0017228,0.0017228
9,656.39,1.91273,1.42902,1.14323,0.81954,0.53715,0.58004,0.28955,2.24751,2.13927,1.10295,0.0016832,0.0016832,0.0016832
10,729.17,1.85997,1.3844,1.13052,0.85593,0.52491,0.611,0.30503,2.11807,1.73566,1.10424,0.0016436,0.0016436,0.0016436
11,801.836,1.91702,1.41216,1.14462,0.7929,0.53815,0.60051,0.28193,2.17106,2.09726,1.11109,0.001604,0.001604,0.001604
12,874.821,1.84513,1.35059,1.1332,0.87821,0.5512,0.62439,0.3256,2.12419,2.23934,1.08955,0.0015644,0.0015644,0.0015644
13,947.492,1.82367,1.31122,1.10694,0.85369,0.58584,0.64734,0.3325,2.10513,1.83141,1.05932,0.0015248,0.0015248,0.0015248
14,1019.88,1.81128,1.29978,1.0895,0.85806,0.57051,0.61474,0.31368,2.30833,2.30536,1.09342,0.0014852,0.0014852,0.0014852
15,1092.91,1.76871,1.29895,1.10923,0.8605,0.55118,0.62652,0.32481,2.14864,1.6463,1.07752,0.0014456,0.0014456,0.0014456
16,1166.25,1.79437,1.20823,1.09694,0.83263,0.56442,0.62009,0.30785,2.20085,1.88232,1.07247,0.001406,0.001406,0.001406
17,1239.04,1.84442,1.31789,1.09313,0.81432,0.5743,0.64074,0.32208,2.18247,1.87382,1.06764,0.0013664,0.0013664,0.0013664
18,1311.98,1.76949,1.25774,1.08303,0.79174,0.6004,0.63113,0.30175,2.32057,1.63633,1.09594,0.0013268,0.0013268,0.0013268
19,1384.11,1.74925,1.17007,1.07805,0.84649,0.58835,0.63496,0.30586,2.27622,1.62545,1.09625,0.0012872,0.0012872,0.0012872
20,1457.39,1.72413,1.16133,1.06522,0.83762,0.6163,0.65593,0.32657,2.23017,1.62423,1.0833,0.0012476,0.0012476,0.0012476
21,1530.26,1.80436,1.22671,1.08579,0.84235,0.59009,0.66362,0.3441,2.07202,1.5187,1.04396,0.001208,0.001208,0.001208
22,1602.48,1.74851,1.22185,1.08288,0.86237,0.61546,0.66712,0.34468,2.12246,1.62027,1.03657,0.0011684,0.0011684,0.0011684
23,1675.16,1.70359,1.16638,1.06328,0.85005,0.63253,0.68115,0.36629,2.04591,1.44838,1.02756,0.0011288,0.0011288,0.0011288
24,1748.27,1.6799,1.12327,1.05156,0.84169,0.59788,0.64437,0.33106,2.14171,1.52075,1.03848,0.0010892,0.0010892,0.0010892
25,1821.43,1.69188,1.14347,1.05493,0.86728,0.63153,0.68102,0.34749,2.09649,1.59984,1.03816,0.0010496,0.0010496,0.0010496
26,1893.79,1.68539,1.10731,1.05276,0.84659,0.63715,0.69944,0.3695,1.99678,1.37985,1.02339,0.00101,0.00101,0.00101
27,1966.54,1.66093,1.10112,1.04482,0.87238,0.64512,0.70083,0.3631,2.05583,1.46354,1.04737,0.0009704,0.0009704,0.0009704
28,2039.78,1.68106,1.11466,1.04477,0.87978,0.62349,0.69601,0.34764,2.13868,1.46347,1.04059,0.0009308,0.0009308,0.0009308
29,2113.65,1.62389,1.08276,1.02133,0.86879,0.65763,0.71761,0.38864,1.93196,1.46295,1.00845,0.0008912,0.0008912,0.0008912
30,2186.56,1.62366,1.05349,1.0383,0.90107,0.63956,0.70164,0.35773,2.08642,1.3074,1.01267,0.0008516,0.0008516,0.0008516
31,2259.63,1.63781,1.07298,1.01836,0.92264,0.62269,0.69972,0.37524,2.01164,1.32296,1.00732,0.000812,0.000812,0.000812
32,2332.68,1.63007,1.06727,1.02718,0.92573,0.63825,0.72068,0.36459,2.00145,1.30207,1.01944,0.0007724,0.0007724,0.0007724
33,2405.82,1.63163,1.05062,1.02179,0.86732,0.63554,0.71927,0.37266,2.00172,1.29624,1.01299,0.0007328,0.0007328,0.0007328
34,2479.87,1.65728,1.08636,1.02468,0.87075,0.64659,0.7135,0.37656,2.009,1.28744,1.0088,0.0006932,0.0006932,0.0006932
35,2552.75,1.63154,1.08767,1.03378,0.88865,0.65863,0.72002,0.37281,1.99493,1.24013,1.01901,0.0006536,0.0006536,0.0006536
36,2625.73,1.55991,0.99753,1.02095,0.90277,0.65863,0.73912,0.39678,1.93877,1.25423,0.99327,0.000614,0.000614,0.000614
37,2699.26,1.57161,1.04215,1.01896,0.87988,0.67169,0.71966,0.36192,2.04928,1.2904,1.01152,0.0005744,0.0005744,0.0005744
38,2772.7,1.55798,0.99526,0.99814,0.89262,0.65863,0.7217,0.36889,2.02475,1.29104,1.00929,0.0005348,0.0005348,0.0005348
39,2845.87,1.53428,0.97184,1.00466,0.90327,0.65161,0.73404,0.37054,2.01658,1.26923,1.00352,0.0004952,0.0004952,0.0004952
40,2919.14,1.53005,0.97747,1.01029,0.87361,0.67771,0.73887,0.39789,1.94818,1.24574,0.99632,0.0004556,0.0004556,0.0004556
41,2998.93,1.44417,0.94076,0.97964,0.90012,0.66165,0.73832,0.40438,1.91119,1.21937,0.99354,0.000416,0.000416,0.000416
42,3072.16,1.44456,0.93889,0.99023,0.88415,0.68198,0.7645,0.41421,1.85217,1.17981,0.98101,0.0003764,0.0003764,0.0003764
43,3144.96,1.4151,0.92388,0.97822,0.92089,0.65449,0.73996,0.40997,1.87973,1.1895,0.98715,0.0003368,0.0003368,0.0003368
44,3217.7,1.44683,0.92874,0.99229,0.9275,0.65502,0.73891,0.40792,1.92136,1.18377,0.99571,0.0002972,0.0002972,0.0002972
45,3290.93,1.41146,0.92022,0.97064,0.8691,0.69478,0.74913,0.41093,1.9017,1.17065,0.99245,0.0002576,0.0002576,0.0002576
46,3364.44,1.38018,0.88695,0.96917,0.86669,0.68976,0.74595,0.41443,1.87136,1.18865,0.98795,0.000218,0.000218,0.000218
47,3437.17,1.3953,0.88982,0.97621,0.88706,0.67871,0.75241,0.41122,1.87196,1.13986,0.98746,0.0001784,0.0001784,0.0001784
48,3510.08,1.38038,0.87623,0.96966,0.86884,0.69172,0.75337,0.41893,1.83579,1.12835,0.97439,0.0001388,0.0001388,0.0001388
49,3583.61,1.37513,0.89699,0.97218,0.90886,0.6747,0.75785,0.41487,1.85089,1.12666,0.97817,9.92e-05,9.92e-05,9.92e-05
50,3656.5,1.31734,0.86984,0.96369,0.86489,0.70699,0.76475,0.41758,1.84041,1.11016,0.98285,5.96e-05,5.96e-05,5.96e-05
