epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.698,2.11842,4.31755,1.30765,0.7856,0.49799,0.52963,0.2363,2.30241,7.396,1.09803,0.000664889,0.000664889,0.000664889
2,217.817,2.08387,2.68774,1.31724,0.75961,0.49176,0.51634,0.24788,2.14061,4.8914,1.08965,0.00130519,0.00130519,0.00130519
3,292.336,2.08017,2.10598,1.34919,0.83989,0.43876,0.51754,0.27497,2.19484,2.91402,1.11328,0.00191909,0.00191909,0.00191909
4,365.767,2.05809,1.94375,1.3368,0.7866,0.49699,0.55756,0.29193,2.11822,2.27404,1.09033,0.0018812,0.0018812,0.0018812
5,438.913,1.9749,1.66888,1.31838,0.80136,0.50201,0.57234,0.29445,2.18762,1.94841,1.06278,0.0018416,0.0018416,0.0018416
6,510.427,1.89952,1.64674,1.26133,0.76318,0.50502,0.58019,0.31393,2.08307,2.11146,1.05966,0.001802,0.001802,0.001802
7,583.203,1.86966,1.5164,1.27377,0.83489,0.56426,0.62662,0.34318,2.0433,1.70455,1.03963,0.0017624,0.0017624,0.0017624
8,655.653,1.82019,1.34886,1.25909,0.84134,0.54116,0.62357,0.33689,2.0598,1.76698,1.05774,0.0017228,0.0017228,0.0017228
9,730.76,1.85419,1.38443,1.24615,0.83916,0.59639,0.65419,0.3374,2.05634,1.63642,1.04344,0.0016832,0.0016832,0.0016832
10,805.354,1.79155,1.36504,1.2288,0.85396,0.60241,0.67047,0.34223,2.06506,1.55437,1.03265,0.0016436,0.0016436,0.0016436
11,878.864,1.80141,1.30862,1.21167,0.83734,0.61345,0.66715,0.37239,2.00056,1.58337,1.02218,0.001604,0.001604,0.001604
12,952.751,1.70775,1.19384,1.19516,0.86191,0.55149,0.62307,0.3492,1.96531,1.63749,1.0226,0.0015644,0.0015644,0.0015644
13,1028.28,1.71492,1.2244,1.17789,0.89094,0.57417,0.65522,0.35346,2.14213,1.61006,1.0256,0.0015248,0.0015248,0.0015248
14,1100.79,1.66347,1.15304,1.18967,0.85096,0.61044,0.67241,0.37292,1.98158,1.52092,1.02003,0.0014852,0.0014852,0.0014852
15,1173.98,1.6674,1.16302,1.17025,0.87557,0.60052,0.67478,0.3619,2.06575,1.68028,1.01631,0.0014456,0.0014456,0.0014456
16,1246.89,1.63913,1.14501,1.16024,0.85509,0.62205,0.68696,0.38084,1.91641,1.4682,1.00653,0.001406,0.001406,0.001406
17,1320.86,1.68378,1.16377,1.1895,0.87358,0.63137,0.71474,0.38225,1.9216,1.54087,0.9954,0.0013664,0.0013664,0.0013664
18,1395.49,1.63551,1.16469,1.15514,0.86484,0.62961,0.6933,0.3752,1.95815,1.8652,0.9908,0.0013268,0.0013268,0.0013268
19,1469.35,1.64603,1.10188,1.14529,0.85499,0.63932,0.70372,0.38581,1.94557,1.56522,0.9984,0.0012872,0.0012872,0.0012872
20,1542.89,1.58902,1.09901,1.12989,0.89875,0.63278,0.70632,0.37564,1.99221,1.40767,0.99347,0.0012476,0.0012476,0.0012476
21,1617.06,1.65491,1.0846,1.13038,0.86957,0.64262,0.71077,0.39263,1.89065,1.37921,0.98522,0.001208,0.001208,0.001208
22,1691.8,1.58,1.0677,1.1241,0.90767,0.61145,0.69805,0.39766,1.9284,1.27014,0.98962,0.0011684,0.0011684,0.0011684
23,1770.44,1.61182,1.09771,1.12479,0.90107,0.66566,0.72575,0.41307,1.83625,1.28414,0.97238,0.0011288,0.0011288,0.0011288
24,1852.28,1.55254,1.05099,1.11106,0.89498,0.66735,0.72848,0.41108,1.8614,1.27232,0.98193,0.0010892,0.0010892,0.0010892
25,1929.9,1.52939,1.00699,1.10311,0.8683,0.66857,0.73863,0.42646,1.77352,1.42824,0.96575,0.0010496,0.0010496,0.0010496
26,2006.88,1.54724,1.02691,1.09339,0.90348,0.63909,0.72932,0.40746,1.89323,1.38266,0.97549,0.00101,0.00101,0.00101
27,2080.19,1.51952,0.98529,1.08162,0.86149,0.65663,0.72569,0.40042,1.86283,1.5061,0.97226,0.0009704,0.0009704,0.0009704
28,2157.66,1.56065,1.00593,1.10016,0.91314,0.64759,0.75499,0.42432,1.81027,1.23497,0.96826,0.0009308,0.0009308,0.0009308
29,2231.99,1.47454,0.95832,1.08251,0.8851,0.67288,0.74893,0.42309,1.80845,1.19457,0.95849,0.0008912,0.0008912,0.0008912
30,2304.93,1.4757,0.96733,1.08113,0.87841,0.69779,0.76012,0.4332,1.78012,1.40175,0.95916,0.0008516,0.0008516,0.0008516
31,2377.62,1.46556,0.94024,1.08288,0.87788,0.67369,0.76301,0.43494,1.7648,1.09198,0.96033,0.000812,0.000812,0.000812
32,2450.96,1.48748,0.97433,1.06734,0.89376,0.65361,0.73446,0.41948,1.81638,1.36269,0.95915,0.0007724,0.0007724,0.0007724
33,2524.78,1.45657,0.93786,1.07581,0.89787,0.70683,0.77795,0.44754,1.71614,1.1814,0.94664,0.0007328,0.0007328,0.0007328
34,2597.28,1.42021,0.89612,1.05446,0.87574,0.68373,0.76725,0.43443,1.79574,1.26026,0.95895,0.0006932,0.0006932,0.0006932
35,2669.64,1.42463,0.91308,1.04031,0.82594,0.68574,0.76412,0.4342,1.76643,1.0956,0.96736,0.0006536,0.0006536,0.0006536
36,2742.27,1.38318,0.91301,1.04454,0.90249,0.72478,0.79825,0.45991,1.68389,1.07704,0.94101,0.000614,0.000614,0.000614
37,2814.48,1.36572,0.86144,1.04664,0.89531,0.7249,0.79182,0.45449,1.67279,1.11988,0.94898,0.0005744,0.0005744,0.0005744
38,2886.96,1.37893,0.8833,1.02616,0.89953,0.71018,0.79268,0.44274,1.76596,1.09482,0.96342,0.0005348,0.0005348,0.0005348
39,2959.51,1.37357,0.87078,1.02516,0.87863,0.7239,0.78785,0.46129,1.67829,1.10182,0.94174,0.0004952,0.0004952,0.0004952
40,3032.1,1.34838,0.83708,1.02752,0.90833,0.69637,0.77823,0.45783,1.68723,1.05324,0.93672,0.0004556,0.0004556,0.0004556
41,3113.21,1.35108,0.84954,1.02597,0.90573,0.71386,0.78145,0.45687,1.67993,1.1171,0.93991,0.000416,0.000416,0.000416
42,3185.36,1.35083,0.83082,1.01062,0.89159,0.70482,0.78168,0.46201,1.66681,1.04925,0.93715,0.0003764,0.0003764,0.0003764
43,3257.58,1.35041,0.84852,1.0085,0.88549,0.7249,0.78445,0.45693,1.69903,1.03833,0.94699,0.0003368,0.0003368,0.0003368
44,3330.81,1.34868,0.82055,1.01317,0.85454,0.72551,0.78134,0.45407,1.72376,1.05725,0.94273,0.0002972,0.0002972,0.0002972
45,3408.81,1.34261,0.82485,1.01507,0.92073,0.73467,0.79706,0.4729,1.6551,1.01066,0.93452,0.0002576,0.0002576,0.0002576
46,3486.3,1.26786,0.7994,0.99743,0.91393,0.73494,0.80609,0.47446,1.64054,0.99194,0.93397,0.000218,0.000218,0.000218
47,3561.99,1.27297,0.77923,0.98424,0.9001,0.73273,0.79979,0.47285,1.63387,0.95127,0.93392,0.0001784,0.0001784,0.0001784
48,3635.6,1.27358,0.78345,0.98395,0.88582,0.74,0.8062,0.47661,1.60986,0.93657,0.92693,0.0001388,0.0001388,0.0001388
49,3708.6,1.25423,0.77088,0.98972,0.88649,0.74498,0.81207,0.47983,1.59961,0.92848,0.92961,9.92e-05,9.92e-05,9.92e-05
50,3781.09,1.25584,0.77763,0.97776,0.90778,0.73135,0.81428,0.48325,1.5912,0.91712,0.92718,5.96e-05,5.96e-05,5.96e-05
