epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.5875,1.82732,3.83168,1.11795,0.94956,0.0567,0.29896,0.17123,1.90461,5.79817,1.07468,0.000658537,0.000658537,0.000658537
2,102.977,1.76692,2.48821,1.14578,0.82229,0.4488,0.50064,0.24832,2.02989,4.03068,1.14453,0.00129896,0.00129896,0.00129896
3,152.92,1.85698,2.03734,1.18808,0.81466,0.5428,0.60565,0.29691,1.97578,2.82489,1.11944,0.00191299,0.00191299,0.00191299
4,201.981,1.73322,1.54792,1.13047,0.77728,0.53614,0.58057,0.30995,1.84785,2.0753,1.08963,0.0018812,0.0018812,0.0018812
5,250.883,1.70019,1.3113,1.12074,0.79387,0.53916,0.59777,0.33136,1.81521,1.59861,1.09068,0.0018416,0.0018416,0.0018416
6,300.175,1.66267,1.25261,1.12638,0.82292,0.51325,0.60008,0.3368,1.7561,1.69878,1.06037,0.001802,0.001802,0.001802
7,348.636,1.60775,1.13335,1.07979,0.80897,0.57631,0.64647,0.34769,1.80221,1.40696,1.04307,0.0017624,0.0017624,0.0017624
8,397.634,1.59069,1.09676,1.09289,0.88857,0.61948,0.68937,0.37451,1.83682,1.25608,1.06527,0.0017228,0.0017228,0.0017228
9,446.444,1.58574,1.06703,1.09102,0.83911,0.61787,0.66015,0.37217,1.71231,1.24621,1.05007,0.0016832,0.0016832,0.0016832
10,495.27,1.59085,1.01286,1.07381,0.86414,0.63956,0.69951,0.38377,1.73633,1.17139,1.02465,0.0016436,0.0016436,0.0016436
11,543.901,1.5277,0.9309,1.0611,0.87479,0.6594,0.72752,0.40346,1.69745,1.12131,1.0254,0.001604,0.001604,0.001604
12,592.558,1.45994,0.92107,1.03449,0.8984,0.6392,0.71584,0.41402,1.65411,1.14787,1.02612,0.0015644,0.0015644,0.0015644
13,641.486,1.4762,0.90609,1.04117,0.90171,0.61713,0.6934,0.3718,1.77184,1.19412,1.05418,0.0015248,0.0015248,0.0015248
14,690.342,1.51643,0.90778,1.06463,0.87835,0.66693,0.74156,0.41471,1.62458,1.01483,1.02553,0.0014852,0.0014852,0.0014852
15,739.729,1.4937,0.91012,1.04275,0.85289,0.66359,0.72007,0.39742,1.73641,1.09115,1.01939,0.0014456,0.0014456,0.0014456
16,788.564,1.41247,0.85266,1.0259,0.87735,0.68675,0.75548,0.43399,1.60883,0.9572,1.00537,0.001406,0.001406,0.001406
17,837.873,1.43625,0.84999,1.03298,0.89653,0.69593,0.74837,0.41954,1.66895,1.03988,1.00735,0.0013664,0.0013664,0.0013664
18,887.211,1.42277,0.8453,1.03095,0.88549,0.69277,0.75894,0.4563,1.53119,0.93337,0.99017,0.0013268,0.0013268,0.0013268
19,936.155,1.42835,0.81463,1.02457,0.87227,0.70783,0.76989,0.41829,1.57459,1.00366,0.98739,0.0012872,0.0012872,0.0012872
20,985.113,1.4161,0.8355,1.01413,0.90861,0.66064,0.75922,0.43714,1.55955,0.9413,0.98614,0.0012476,0.0012476,0.0012476
21,1034.03,1.37189,0.79657,1.00153,0.86797,0.70683,0.7603,0.42569,1.62676,0.91583,0.98803,0.001208,0.001208,0.001208
22,1083.4,1.35724,0.77538,1.0183,0.88648,0.6988,0.77239,0.44383,1.55723,0.91068,0.97009,0.0011684,0.0011684,0.0011684
23,1132.16,1.34126,0.76291,0.996,0.90423,0.71096,0.7924,0.46859,1.51635,0.85317,0.97451,0.0011288,0.0011288,0.0011288
24,1181.72,1.32526,0.75749,0.9993,0.90512,0.69679,0.78243,0.4568,1.53684,0.85319,0.97097,0.0010892,0.0010892,0.0010892
25,1231.01,1.34099,0.7475,0.99254,0.89776,0.70533,0.76804,0.45003,1.54195,0.90576,0.97403,0.0010496,0.0010496,0.0010496
26,1280.6,1.29281,0.7378,0.97994,0.89846,0.68775,0.77126,0.45772,1.51402,0.89642,0.96823,0.00101,0.00101,0.00101
27,1329.95,1.332,0.77022,0.97832,0.90462,0.70281,0.77956,0.46319,1.49746,0.87453,0.96854,0.0009704,0.0009704,0.0009704
28,1379.29,1.27544,0.72784,0.97197,0.86145,0.72992,0.79729,0.47555,1.44321,0.88681,0.96148,0.0009308,0.0009308,0.0009308
29,1428.87,1.25713,0.69794,0.96614,0.90487,0.7249,0.80152,0.47855,1.46647,0.8202,0.95858,0.0008912,0.0008912,0.0008912
30,1478.09,1.25949,0.71385,0.97442,0.8999,0.71586,0.80009,0.47215,1.46867,0.80791,0.95834,0.0008516,0.0008516,0.0008516
31,1526.96,1.26049,0.68298,0.96212,0.88249,0.72691,0.80299,0.48118,1.44827,0.80311,0.95783,0.000812,0.000812,0.000812
32,1576.18,1.23178,0.68756,0.96462,0.83628,0.69236,0.77416,0.4654,1.43412,0.9124,0.94304,0.0007724,0.0007724,0.0007724
33,1624.94,1.20598,0.67265,0.95356,0.91399,0.73293,0.81314,0.49226,1.42614,0.77547,0.94451,0.0007328,0.0007328,0.0007328
34,1674.39,1.21087,0.66231,0.94316,0.90548,0.751,0.81821,0.49126,1.42493,0.7787,0.94596,0.0006932,0.0006932,0.0006932
35,1723.59,1.2197,0.68551,0.95045,0.91898,0.73996,0.82354,0.50159,1.38509,0.75019,0.94326,0.0006536,0.0006536,0.0006536
36,1772.41,1.16584,0.65248,0.94207,0.91302,0.74799,0.81555,0.48068,1.42721,0.78209,0.9488,0.000614,0.000614,0.000614
37,1821.07,1.19574,0.65213,0.9399,0.92043,0.71988,0.8219,0.49906,1.38406,0.73988,0.94067,0.0005744,0.0005744,0.0005744
38,1869.9,1.19281,0.65574,0.94712,0.91158,0.75566,0.83653,0.51006,1.37026,0.70971,0.92971,0.0005348,0.0005348,0.0005348
39,1918.52,1.20139,0.65159,0.93923,0.90874,0.7598,0.82971,0.50511,1.37609,0.72173,0.93506,0.0004952,0.0004952,0.0004952
40,1967.47,1.18289,0.63661,0.93914,0.91971,0.76506,0.84163,0.50875,1.35301,0.72279,0.93516,0.0004556,0.0004556,0.0004556
41,2043.31,1.17486,0.61859,0.94513,0.90877,0.72011,0.8054,0.48076,1.40912,0.78619,0.94942,0.000416,0.000416,0.000416
42,2092.05,1.12493,0.58955,0.94616,0.91755,0.75983,0.8376,0.51173,1.3491,0.70487,0.93531,0.0003764,0.0003764,0.0003764
43,2140.53,1.12064,0.59047,0.92649,0.90569,0.77132,0.83311,0.50052,1.39977,0.72282,0.93632,0.0003368,0.0003368,0.0003368
44,2189.39,1.13739,0.59077,0.92603,0.91481,0.74389,0.8316,0.51737,1.32911,0.69382,0.93005,0.0002972,0.0002972,0.0002972
45,2237.91,1.13113,0.60023,0.91997,0.92221,0.74987,0.84121,0.52287,1.30842,0.6796,0.92765,0.0002576,0.0002576,0.0002576
46,2286.54,1.10183,0.56931,0.93151,0.9091,0.76305,0.83946,0.52073,1.32415,0.67065,0.92414,0.000218,0.000218,0.000218
47,2335.33,1.09062,0.57976,0.91501,0.91202,0.77017,0.8451,0.52628,1.31259,0.6744,0.92583,0.0001784,0.0001784,0.0001784
48,2384.29,1.06233,0.5557,0.91503,0.90873,0.76205,0.84256,0.52547,1.31017,0.66142,0.92414,0.0001388,0.0001388,0.0001388
49,2433.14,1.04839,0.5508,0.9155,0.90292,0.78441,0.8479,0.52423,1.30085,0.66663,0.92431,9.92e-05,9.92e-05,9.92e-05
