epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.0814,2.02301,3.28498,1.09555,0.82341,0.05618,0.1711,0.0514,2.60995,8.55177,1.35732,0.000660317,0.000660317,0.000660317
2,122.459,1.75808,2.00415,1.01051,0.33575,0.25803,0.16538,0.05196,2.77818,7.46499,1.39696,0.00130071,0.00130071,0.00130071
3,182.339,1.82393,1.6728,1.03262,0.30616,0.17068,0.12571,0.04345,2.97161,4.33793,1.49863,0.0019147,0.0019147,0.0019147
4,242.4,1.71009,1.34976,0.99702,0.16279,0.21586,0.08268,0.02992,2.74177,6.96672,1.43296,0.0018812,0.0018812,0.0018812
5,302.084,1.61505,1.19764,0.96929,0.37557,0.2651,0.20922,0.06895,2.84862,5.16169,1.41752,0.0018416,0.0018416,0.0018416
6,362.3,1.58837,1.17985,0.96975,0.26756,0.09438,0.07595,0.0314,3.04072,10.6802,1.69628,0.001802,0.001802,0.001802
7,422.058,1.52021,1.08994,0.96239,0.18918,0.24096,0.08749,0.03239,2.72931,6.23243,1.42028,0.0017624,0.0017624,0.0017624
8,482.24,1.49519,1.07137,0.94189,0.30818,0.19578,0.13636,0.05444,2.76264,4.47302,1.36673,0.0017228,0.0017228,0.0017228
9,543.64,1.46646,1.02178,0.93395,0.24002,0.28213,0.14714,0.06008,2.68152,5.10347,1.34962,0.0016832,0.0016832,0.0016832
10,604.03,1.43245,1.0108,0.92774,0.23042,0.27008,0.14172,0.05849,2.65722,6.64856,1.37493,0.0016436,0.0016436,0.0016436
11,663.975,1.42444,1.01998,0.94043,0.16427,0.14056,0.06976,0.02512,2.90283,4.5225,1.41011,0.001604,0.001604,0.001604
12,724.009,1.4056,0.977,0.93102,0.23863,0.25,0.13607,0.05231,2.7664,4.49748,1.41507,0.0015644,0.0015644,0.0015644
13,784.272,1.39132,0.98438,0.93087,0.20427,0.26004,0.09557,0.03557,2.68386,7.65311,1.36615,0.0015248,0.0015248,0.0015248
14,844.771,1.37475,0.97695,0.9333,0.24966,0.16566,0.0937,0.03974,2.7908,5.77695,1.39028,0.0014852,0.0014852,0.0014852
15,905.538,1.33565,0.93624,0.90955,0.27104,0.21888,0.17198,0.06415,2.80954,3.94739,1.37827,0.0014456,0.0014456,0.0014456
16,967.283,1.34188,0.95224,0.92089,0.25457,0.25803,0.1473,0.04497,2.82191,4.87532,1.38487,0.001406,0.001406,0.001406
17,1031.61,1.296,0.92492,0.90564,0.35782,0.21888,0.1774,0.07258,2.76746,4.84377,1.46818,0.0013664,0.0013664,0.0013664
